id,en,fr,es
child-growth.errPickDate,Pick a date and add a title.,Choisissez une date et ajoutez un titre.,
child-growth.errTable,Couldn't save. Is the timeline table set up?,Impossible d'enregistrer. La table de la chronologie est-elle configurée?,
child-growth.errConn,Couldn't save. Check your connection.,Impossible d'enregistrer. Vérifiez votre connexion.,
child-growth.storyEmpty,"The story starts here — add the first moment, or fill in the passport and it writes itself.","L'histoire commence ici — ajoutez le premier moment, ou remplissez le passeport et elle s'écrira toute seule.",
child-growth.moments1,{n} moment,{n} moment,
child-growth.momentsN,{n} moments,{n} moments,
child-growth.delEventAria,Delete event,Supprimer l'événement,
child-growth.confirmDelEvent,Delete this moment?,Supprimer ce moment?,
child-growth.evDiagnosed,Diagnosed,Diagnostic reçu,
child-growth.addDateNote,Add the date in the passport,Ajoutez la date dans le passeport,
child-growth.dateNotSet,Date not set,Date non précisée,
child-growth.undated,Undated,Sans date,
child-growth.evStarted,Started {type},Début {of}{type},
child-growth.mlab.sit,Sat unsupported,Position assise sans appui,
child-growth.mlab.crawl,Crawled,Marche à quatre pattes,
child-growth.mlab.walk,Walked,Premiers pas,
child-growth.mlab.firstWord,First words,Premiers mots,
child-growth.mlab.phrases,First phrases,Premières combinaisons de mots,
child-growth.mlab.sentences,First sentences,Premières phrases complètes,
child-growth.mlab.toiletDay,Toilet trained (day),Propreté acquise (jour),
child-growth.mlab.toiletNight,Toilet trained (night),Propreté acquise (nuit),
child-growth.around,Around {age},Vers {age},
child-growth.docAdded,{name} added,{name} ajouté,
child-growth.docFallback,Document,Document,
child-growth.docNote,Uploaded to documents,Téléversé dans les documents,
child-growth.msCta1,{n} early milestone still to record — add ages in the passport and they appear in the story,Encore {n} jalon de développement à noter — ajoutez les âges dans le passeport et il apparaîtra dans l'histoire,
child-growth.msCtaN,{n} early milestones still to record — add ages in the passport and they appear in the story,Encore {n} jalons de développement à noter — ajoutez les âges dans le passeport et ils apparaîtront dans l'histoire,
child-journey.journeyTitle,The Journey,Le parcours,
child-journey.journeyTitleNamed,{name}'s Journey,Le parcours {of}{name},
child-journey.ribbonSub,"A path built from your answers — one step at a time, in the order that helps most.","Un chemin construit à partir de vos réponses — une étape à la fois, dans l'ordre qui aide le plus.",
child-journey.builtFrom1,Built from {n} passport section,Construit à partir de {n} section du passeport,
child-journey.builtFromN,Built from {n} passport sections,Construit à partir de {n} sections du passeport,
child-journey.builtAbout, about {name}, au sujet de {name},
child-journey.builtTail, — every step below exists because of something you told us., — chaque étape ci-dessous existe grâce à ce que vous nous avez confié.,
child-journey.statsDone,steps done,étapes faites,
child-journey.statsNow,to do now,à faire maintenant,
child-journey.statsLater,coming up,à venir,
child-journey.gateText,"The journey starts with the passport — a few minutes about your child, and a personalized path appears here.","Le parcours commence avec le passeport — quelques minutes au sujet de votre enfant, et un chemin personnalisé apparaît ici.",
child-journey.gateCta,Start the passport →,Commencer le passeport →,
child-journey.stepperProgress,{done}/{total} done,{done}/{total} faites,
child-journey.youAreHere, · you are here, · vous êtes ici,
child-journey.fromPassport,From the passport: {because},Tiré du passeport : {because},
child-journey.pillDone,Done ✓,Fait ✓,
child-journey.pillNow,Now,Maintenant,
child-journey.pillNext,Next,Ensuite,
child-journey.pillLater,Later,Plus tard,
child-journey.footFallback,You don't have to do it all today — one step is enough. The path updates itself as the passport grows.,Vous n'avez pas à tout faire aujourd'hui — une étape suffit. Le chemin se met à jour à mesure que le passeport grandit.,
child-journey.footTextNamed,You don't have to do it all today — one step is enough. The path updates itself as {name}'s passport grows.,Vous n'avez pas à tout faire aujourd'hui — une étape suffit. Le chemin se met à jour à mesure que le passeport {of}{name} grandit.,
child-journey.footCta,See how far you've come →,Voyez le chemin parcouru →,
child-records.ribbonTitle,Assessments,Évaluations,
child-records.ribbonTitleNamed,{name}'s Assessments,Évaluations {of}{name},
child-records.ribbonSub,"Every evaluation in one library — reports, key findings, and all the recommendations.","Chaque évaluation dans une seule bibliothèque — les rapports, les constats clés et toutes les recommandations.",
child-records.statReports,reports on file,rapports au dossier,
child-records.statRecords,records captured,fiches consignées,
child-records.statRecs,recommendations,recommandations,
child-records.aiTitle,AI Report Reader,Lecteur IA de rapports,
child-records.aiBadge,Rolling out,En déploiement,
child-records.aiBody,"Assessment reports are dense. The reader will turn any uploaded report into a plain-language summary — what was found, what's recommended, what to do next. Reports you upload now will be summarized automatically when it launches.","Les rapports d'évaluation sont denses. Le lecteur transformera tout rapport téléversé en résumé clair — ce qui a été constaté, ce qui est recommandé, quoi faire ensuite. Les rapports téléversés dès maintenant seront résumés automatiquement au lancement.",
child-records.aiCta,Open the vault,Ouvrir le coffre,
child-records.reportsTitle,Reports,Rapports,
child-records.reportsSub,"The files themselves — PDFs, scans and originals, straight from the vault.","Les fichiers eux-mêmes — PDF, numérisations et originaux, directement du coffre.",
child-records.uploadReport,Upload a report,Téléverser un rapport,
child-records.documentFallback,Document,Document,
child-records.fileFallback,file,fichier,
child-records.uploadedOn,Uploaded {date},Téléversé le {date},
child-records.docsEmpty,"No reports yet — every evaluation lives in one place, uploaded once and never dug for again.","Aucun rapport pour l'instant — chaque évaluation vit au même endroit : téléversée une fois, plus jamais besoin de fouiller.",
child-records.uploadFirst,Upload the first one →,Téléverser le premier →,
child-records.recordsTitle,Assessment records,Fiches d'évaluation,
child-records.recordsSub,"The key findings and recommendations, captured so nothing gets lost.","Les constats clés et les recommandations, consignés pour que rien ne se perde.",
child-records.addAssessment,Add assessment,Ajouter une évaluation,
child-records.typeSpeech,Speech / language,Orthophonie,
child-records.typeOT,Occupational therapy,Ergothérapie,
child-records.typePsychoEd,Psychoeducational,Psychoéducationnelle,
child-records.typeABA,Behavioural / ABA,Comportementale / ABA,
child-records.typeDevPed,Developmental pediatric,Pédiatrie du développement,
child-records.typePhysio,Physiotherapy,Physiothérapie,
child-records.typeOther,Other,Autre,
child-records.providerPh,Provider or clinic,Professionnel ou clinique,
child-records.findingsPh,Key findings (paste or summarize from the report)…,Constats clés (collez ou résumez à partir du rapport)…,
child-records.recsPh,Recommendations — one per line…,Recommandations — une par ligne…,
child-records.cancel,Cancel,Annuler,
child-records.saveAssessment,Save assessment,Enregistrer l'évaluation,
child-records.saving,Saving…,Enregistrement…,
child-records.errNeedContent,Add at least some findings or recommendations.,Ajoutez au moins quelques constats ou recommandations.,
child-records.errSaveTable,Couldn't save. Is the assessments table set up?,Impossible d'enregistrer. La table des évaluations est-elle configurée?,
child-records.errSaveNet,Couldn't save. Check your connection.,Impossible d'enregistrer. Vérifiez votre connexion.,
child-records.recordsEmpty,"No records yet — after each evaluation, capture the findings and recommendations here so they never get lost in a PDF.","Aucune fiche pour l'instant — après chaque évaluation, consignez ici les constats et les recommandations pour qu'ils ne se perdent jamais dans un PDF.",
child-records.assessmentFallback,Assessment,Évaluation,
child-records.keyFindings,Key findings,Constats clés,
child-records.recsLabel,Recommendations,Recommandations,
child-records.delAria,Delete record,Supprimer la fiche,
child-records.confirmDelete,Delete this assessment record?,Supprimer cette fiche d'évaluation?,
child-records.hubTitle,All recommendations,Toutes les recommandations,
child-records.hubSub,Every recommendation from every record — one ready-made list for IEP meetings and applications.,Chaque recommandation de chaque fiche — une liste toute prête pour les rencontres de plan d'intervention et les demandes.,
child-records.copyList,Copy list,Copier la liste,
child-records.copied,Copied ✓,Copié ✓,
child-records.fromSrc,From {src},Source : {src},
child-records.hubEmpty,"Recommendations you add to records gather here automatically — one ready-made list for IEP meetings, funding applications, and new providers.","Les recommandations ajoutées à vos fiches se rassemblent ici automatiquement — une liste toute prête pour les plans d'intervention, les demandes de financement et les nouveaux professionnels.",
child-records.gateText,Create your child's passport to start their assessment library.,Créez le passeport de votre enfant pour commencer sa bibliothèque d'évaluations.,
child-records.gateCta,Start the passport →,Commencer le passeport →,
child-wheel.pageTitle,Support Wheel,Roue de soutien,
child-wheel.wheelTitleNamed,{name}'s Support Wheel,Roue de soutien {of}{name},
child-wheel.ribSub,"The full instrument — three views, a guided tour, and the story behind every petal.","L'instrument complet — trois vues, une visite guidée et l'histoire derrière chaque pétale.",
child-wheel.yourChild,your child,votre enfant,
child-wheel.statWheelComplete,wheel complete,roue complète,
child-wheel.statAreasScored,areas scored,domaines évalués,
child-wheel.statMostSupport,most support,plus de soutien,
child-wheel.tourBtn,Tour,Visite,
child-wheel.stopBtn,Stop,Arrêter,
child-wheel.tourTitle,Auto-walk through all eight areas,Parcourir automatiquement les huit domaines,
child-wheel.needsBtn,Support needs,Besoins de soutien,
child-wheel.strengthsBtn,Strengths,Forces,
child-wheel.compareBtn,⇄ Compare,⇄ Comparer,
child-wheel.captionNeeds,Fuller petals mean <strong>more support</strong> is helpful.,Des pétales plus pleins signifient que <strong>plus de soutien</strong> est utile.,
child-wheel.captionStrengths,Fuller petals mean <strong>stronger</strong> areas.,Des pétales plus pleins signifient des domaines <strong>plus forts</strong>.,
child-wheel.captionCompare,"Needs and strengths, <strong>side by side</strong> — tap either wheel or the chips below.","Besoins et forces, <strong>côte à côte</strong> — touchez l'une des roues ou les pastilles ci-dessous.",
child-wheel.legDefault,1 ring = minimal · 5 rings = intensive,1 anneau = minimal · 5 anneaux = intensif,
child-wheel.legNeeds,1 ring = minimal support · 5 rings = intensive support,1 anneau = soutien minimal · 5 anneaux = soutien intensif,
child-wheel.legStrengths,1 ring = emerging · 5 rings = shining,1 anneau = émergent · 5 anneaux = éclatant,
child-wheel.legCompare,Left: support needs · Right: strengths — selection stays in sync,Gauche : besoins de soutien · Droite : forces — sélection synchronisée,
child-wheel.kbdHint,· ← → to walk the wheel,· ← → pour parcourir la roue,
child-wheel.promptFill,"Fill in more of the passport (communication, sensory, behaviour, daily living) to generate {of}{name}'s support wheel.","Remplissez davantage le passeport (communication, sensoriel, comportement, vie quotidienne) pour générer la roue de soutien {of}{name}.",
child-wheel.continuePassportArrow,Continue passport →,Continuer le passeport →,
child-wheel.wheelWarn,<strong>Wheel is {p}% complete</strong> — {a} of {t} contributing questions answered.,<strong>La roue est complète à {p} %</strong> — {a} sur {t} questions contributives répondues.,
child-wheel.lowerConf, Lower confidence in: {list}., Confiance plus faible dans : {list}.,
child-wheel.completeMore,Complete more →,Complétez-en plus →,
child-wheel.notEnoughData,Not enough data,Données insuffisantes,
child-wheel.trendSince,Since {when}:,Depuis {when} :,
child-wheel.firstCheckin,your first check-in,votre premier bilan,
child-wheel.addMorePassport,Add more in the passport to build this part of the profile.,Ajoutez-en plus dans le passeport pour bâtir cette partie du profil.,
child-wheel.supportLevel,Support level,Niveau de soutien,
child-wheel.strengthsLabel,Strengths,Forces,
child-wheel.confidence,Confidence,Confiance,
child-wheel.confHigh,High,Élevée,
child-wheel.confMedium,Medium,Moyenne,
child-wheel.confLow,Low,Faible,
child-wheel.confNone,No data,Aucune donnée,
child-wheel.groupSupporting,Areas we're supporting,Ce qu'on soutient,
child-wheel.groupStrategies,Strategies that help,Stratégies qui aident,
child-wheel.noneFlagged,Nothing flagged right now,Rien à signaler pour le moment,
child-wheel.noneAdd,Add details in the passport to see this,Ajoutez des détails dans le passeport pour voir ceci,
child-wheel.copy,Copy,Copier,
child-wheel.copied,Copied ✓,Copié ✓,
child-wheel.copyStrategiesHead,Strategies that help — {domain}{who}:,Stratégies qui aident — {domain}{who} :,
child-wheel.disclaimerTitle,Preliminary profile — not a diagnosis.,Profil préliminaire — pas un diagnostic.,
child-wheel.disclaimerBody,"Generated from your passport answers. Confidence reflects how many related questions you've completed. For any concerns, speak with a qualified professional.","Généré à partir de vos réponses au passeport. La confiance reflète le nombre de questions liées complétées. Pour toute inquiétude, parlez-en à un professionnel qualifié.",
child.loading,Loading…,Chargement…,
child.yourChild,Your child,votre enfant,
child.passportLabel,Passport,Passeport,
child.editProfile,Edit profile,Modifier le profil,
child.exportPdf,Export PDF,Exporter en PDF,
child.ageYears1,{n} year,{n} an,
child.ageYearsN,{n} years,{n} ans,
child.complete,complete ✦,complet ✦,
child.sectionsLeft1,{n} section left,{n} section restante,
child.sectionsLeftN,{n} sections left,{n} sections restantes,
child.enjoys,Enjoys {list}.,Aime {list}.,
child.strengthsIn,Has strengths in {list}.,A des forces en {list}.,
child.routines,"Does best with clear, predictable routines and benefits from extra support with {list}.","Réussit mieux avec des routines claires et prévisibles, et bénéficie d'un soutien supplémentaire en {list}.",
child.pairJoin, and , et ,
child.finalJoin,", and ", et ,
child.statFocus,focus areas,domaines prioritaires,
child.statProviders,providers,professionnels,
child.statDocuments,documents,documents,
child.statStrengths,strengths,forces,
child.lovesX,Loves {x},Adore {x},
child.strongX,Strong {x},Solide en {x},
child.checkIn5,5-minute check-in,Bilan de 5 minutes,
child.nudgeMonths,{n} months,{n} mois,
child.nudgeDays,{n} days,{n} jours,
child.nudgeAWhile,a while,un moment,
child.nudgeStale,"It's been <strong>{time}</strong> since {name}'s passport was updated. Children change fast — a quick check-in keeps the wheel, the matches and the journey true. Growth will remember where you were.","Ça fait <strong>{time}</strong> que le passeport {of}{name} n'a pas été mis à jour. Les enfants changent vite — un petit bilan garde la roue, les jumelages et le parcours à jour. Évolution se souviendra d'où vous êtes partis.",
child.nudgeThin,"{name}'s passport is <strong>{pct}% complete</strong> — the more it knows, the better it guides. {n} sections to go.","Le passeport {of}{name} est <strong>complet à {pct} %</strong> — plus il en sait, mieux il vous guide. {n} sections à remplir.",
child.whatsNext,What's next,La suite,
child.whatsNextFor,What's next for {name},La suite pour {name},
child.whatsNextForYou,What's next for you,La suite pour vous,
child.fullJourney,Full journey,Parcours complet,
child.nextEmpty,All caught up — check the full journey for what's ahead.,Tout est à jour — consultez le parcours complet pour la suite.,
child.supportToday,Support today,Soutien aujourd'hui,
child.openFullWheel,Open full wheel,Ouvrir la roue complète,
child.roseCaption,Fuller petals = more support is helpful right now · tap a petal to explore,Des pétales plus pleins = plus de soutien est utile en ce moment · touchez un pétale pour explorer,
child.wheelEmpty,Answer a few passport questions to see {of}{name}'s support wheel here.,Répondez à quelques questions du passeport pour voir ici la roue de soutien {of}{name}.,
child.openPassport,Open the passport →,Ouvrir le passeport →,
child.mostSupportNow,Most support now,Plus de soutien maintenant,
child.goingStrong,Going strong,En pleine forme,
child.notEnoughAnswers,Not enough answers yet.,Pas encore assez de réponses.,
child.shinesAt,Shines at,Ses forces,
child.shinesAtNamed,{name} shines at,Là où {name} brille,
child.shinesEmpty,No strengths recorded yet.,Aucune force notée pour l'instant.,
child.addSome,Add some →,Ajoutez-en →,
child.workingOn,Working on right now,Ce qu'on travaille en ce moment,
child.priEmpty,No priorities chosen yet.,Aucune priorité choisie pour l'instant.,
child.choosePriorities,Choose focus areas →,Choisir les domaines →,
child.teamLabel,Support team:,Équipe de soutien :,
child.addTeam,add {of}{name}'s team →,ajouter l'équipe {of}{name} →,
child.familyGuidance,Family guidance,Conseils pour la famille,
child.guidanceNote,"Observations drawn from your passport — supportive guidance, not medical advice.","Observations tirées de votre passeport — des conseils de soutien, pas un avis médical.",
child.guidanceEmpty,Complete more of the passport to see guidance for {name}.,Complétez davantage le passeport pour voir des conseils pour {name}.,
child.snapshotToast,Passport changes noticed — a check-in was saved to Growth ✦,Changements au passeport détectés — un bilan a été enregistré dans Évolution ✦,
dashboard.loading,Loading…,Chargement…,
dashboard.greetNight,Good night,Bonne nuit,
dashboard.greetMorning,Good morning,Bonjour,
dashboard.greetAfternoon,Good afternoon,Bon après-midi,
dashboard.greetEvening,Good evening,Bonsoir,
dashboard.sublines.0,A calm look at the week ahead.,Un regard calme sur la semaine à venir.,
dashboard.sublines.1,"Fresh week, small steps — they add up.","Nouvelle semaine, petits pas — ils s'additionnent.",
dashboard.sublines.2,Here's how things are looking today.,Voici comment les choses se présentent aujourd'hui.,
dashboard.sublines.3,Midweek check-in — you're doing the work.,Point de mi-semaine — vous faites le travail.,
dashboard.sublines.4,Steady progress beats big leaps.,Un progrès régulier vaut mieux que de grands bonds.,
dashboard.sublines.5,Almost the weekend — here's today's picture.,Presque le week-end — voici le portrait du jour.,
dashboard.sublines.6,Weekends count too — at your pace.,Les week-ends comptent aussi — à votre rythme.,
dashboard.passportLabel,Passport,Passeport,
dashboard.setupPassport,Set up the passport,Créer le passeport,
dashboard.openProfile,Open profile,Ouvrir le profil,
dashboard.fewMinutes,A few minutes to start,Quelques minutes pour commencer,
dashboard.ageLabel,Age {n},{n} ans,
dashboard.complete,Complete ✦,Complet ✦,
dashboard.sectionsLeft1,{n} section left,{n} section restante,
dashboard.sectionsLeftN,{n} sections left,{n} sections restantes,
dashboard.continuePassport,Continue passport,Continuer le passeport,
dashboard.editPassport,Edit passport,Modifier le passeport,
dashboard.exportPdf,Export PDF,Exporter en PDF,
dashboard.more,More →,Plus →,
dashboard.todaysTip,Today's tip,Conseil du jour,
dashboard.suggestedStep,Suggested next step,Prochaine étape suggérée,
dashboard.logWin,Log today's win,Notez la victoire du jour,
dashboard.winPh,Even tiny ones count…,Même les toutes petites comptent…,
dashboard.winSave,Save,Enregistrer,
dashboard.winHome,"It lands in the Progress journal, dated today.","Elle atterrit dans le journal de progrès, datée d'aujourd'hui.",
dashboard.copy,Copy,Copier,
dashboard.copied,Copied ✓,Copié ✓,
dashboard.anotherTip,Another tip,Autre conseil,
dashboard.tipEmpty,Answer a few more passport questions and a daily tip matched to your answers will appear here.,Répondez à quelques questions de plus dans le passeport et un conseil quotidien adapté à vos réponses apparaîtra ici.,
dashboard.tipContinue,Continue the passport →,Continuer le passeport →,
